,name,habitantes_km
0,Acre,5.06
1,Alagoas,112.38
2,Amapá,5.15
3,Amazonas,2.53
4,Bahia,25.04
5,Ceará,59.07
6,Distrito Federal,489.06
7,Espírito Santo,83.21
8,Goiás,20.74
9,Maranhão,20.56
10,Mato Grosso,4.05
11,Mato Grosso do Sul,7.72
12,Minas Gerais,35.02
13,Pará,6.52
14,Paraíba,70.39
15,Paraná,57.42
16,Pernambuco,92.37
17,Piauí,12.99
18,Rio de Janeiro,366.97
19,Rio Grande do Norte,62.54
20,Rio Grande do Sul,38.63
21,Rondônia,6.65
22,Roraima,2.85
23,Santa Catarina,79.5
24,São Paulo,178.92
25,Sergipe,100.74
26,Tocantins,5.45
