,name,population,human_format
0,Rondônia,1815278,1.82M
1,Acre,906876,907K
2,Amazonas,4269995,4.27M
3,Roraima,652713,653K
4,Pará,8777124,8.78M
5,Amapá,877613,878K
6,Tocantins,1607363,1.61M
7,Maranhão,7153262,7.15M
8,Piauí,3289290,3.29M
9,Ceará,9240580,9.24M
10,Rio Grande do Norte,3560903,3.56M
11,Paraíba,4059905,4.06M
12,Pernambuco,9674793,9.67M
13,Alagoas,3365351,3.37M
14,Sergipe,2338474,2.34M
15,Bahia,14985284,15M
16,Minas Gerais,21411923,21.4M
17,Espírito Santo,4108508,4.11M
18,Rio de Janeiro,17463349,17.5M
19,São Paulo,46649132,46.6M
20,Paraná,11597484,11.6M
21,Santa Catarina,7338473,7.34M
22,Rio Grande do Sul,11466630,11.5M
23,Mato Grosso do Sul,2839188,2.84M
24,Mato Grosso,3567234,3.57M
25,Goiás,7206589,7.21M
26,Distrito Federal,3094325,3.09M
