,name,taxa_crescimento
0,Acre,1.03
1,Alagoas,0.02
2,Amapá,0.77
3,Amazonas,1.03
4,Bahia,0.07
5,Ceará,0.33
6,Distrito Federal,0.76
7,Espírito Santo,0.73
8,Goiás,1.36
9,Maranhão,0.25
10,Mato Grosso,1.57
11,Mato Grosso do Sul,0.99
12,Minas Gerais,0.39
13,Pará,0.57
14,Paraíba,0.45
15,Paraná,0.76
16,Pernambuco,0.25
17,Piauí,0.4
18,Rio de Janeiro,0.03
19,Rio Grande do Norte,0.35
20,Rio Grande do Sul,0.15
21,Rondônia,0.1
22,Roraima,2.93
23,Santa Catarina,1.66
24,São Paulo,0.61
25,Sergipe,0.56
26,Tocantins,0.74
