,name,razao_sexos
0,Acre,100.16
1,Alagoas,91.85
2,Amapá,98.72
3,Amazonas,99.49
4,Bahia,93.56
5,Ceará,93.85
6,Distrito Federal,91.06
7,Espírito Santo,95.23
8,Goiás,96.58
9,Maranhão,96.58
10,Mato Grosso,101.31
11,Mato Grosso do Sul,96.86
12,Minas Gerais,95.17
13,Pará,99.59
14,Paraíba,93.34
15,Paraná,95.06
16,Pernambuco,91.21
17,Piauí,95.81
18,Rio de Janeiro,89.39
19,Rio Grande do Norte,93.83
20,Rio Grande do Sul,93.4
21,Rondônia,99.34
22,Roraima,101.29
23,Santa Catarina,97.2
24,São Paulo,92.97
25,Sergipe,91.81
26,Tocantins,100.41
